direction,source_site,target_site,task,condition,source_train_n,source_train_videos,target_test_n,target_test_videos,source_classes,target_classes,test_evaluable,source_distribution,target_distribution,accuracy,macro_f1,balanced_accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high
site1_train_to_site2_test,site1,site2,q4.occlusion,mask_linear,1800,8,997,4,2,2,1,"{""no"": 1643, ""yes"": 157}","{""no"": 953, ""yes"": 44}",0.6569709127382146,0.47113511434279265,0.6904989029857865,0.561122244488978,0.7530120481927711,0.40290816326530615,0.5356175972927242,0.6214580873671782,0.7471748824140247
site1_train_to_site2_test,site1,site2,q4.occlusion,rgb_mask_linear,1800,8,997,4,2,2,1,"{""no"": 1643, ""yes"": 157}","{""no"": 953, ""yes"": 44}",0.7111334002006018,0.47709790209790204,0.5996017361442335,0.6194779116465864,0.7951807228915663,0.40899273397424607,0.534381543661144,0.5364960909737029,0.7000594618700758
site1_train_to_site2_test,site1,site2,q5,majority_prior,1800,8,997,4,3,2,1,"{""blurry"": 135, ""clear"": 1651, ""mixed"": 14}","{""blurry"": 82, ""clear"": 915}",0.917753259779338,0.3190376569037657,0.3333333333333333,0.8425275827482447,0.9698795180722891,0.3048448557430593,0.32823649337410804,0.3333333333333333,0.3333333333333333
site1_train_to_site2_test,site1,site2,q5,rgb_linear,1800,8,997,4,3,2,1,"{""blurry"": 135, ""clear"": 1651, ""mixed"": 14}","{""blurry"": 82, ""clear"": 915}",0.8284854563691073,0.37943169450998154,0.3934292949486872,0.7630522088353414,0.8937875751503006,0.33877233877233875,0.4345074286215902,0.33901087625692594,0.4895637162586315
site1_train_to_site2_test,site1,site2,q5,mask_linear,1800,8,997,4,3,2,1,"{""blurry"": 135, ""clear"": 1651, ""mixed"": 14}","{""blurry"": 82, ""clear"": 915}",0.526579739217653,0.28330453793927435,0.38369541072459906,0.42084168336673344,0.6325301204819277,0.25686082719311176,0.2980689372049326,0.3250517598343685,0.4066369047619047
site1_train_to_site2_test,site1,site2,q5,rgb_mask_linear,1800,8,997,4,3,2,1,"{""blurry"": 135, ""clear"": 1651, ""mixed"": 14}","{""blurry"": 82, ""clear"": 915}",0.769307923771314,0.36333699699239147,0.39414012172908613,0.6867469879518072,0.8517034068136272,0.30600552012943755,0.4287194211312341,0.3212450235251538,0.5212910650763759
site1_train_to_site2_test,site1,site2,q6,majority_prior,1800,8,997,4,2,2,1,"{""no"": 1773, ""yes"": 27}","{""no"": 954, ""yes"": 43}",0.9568706118355065,0.48898001025115323,0.5,0.9186746987951807,0.9819458375125376,0.478806907378336,0.49544534412955465,0.5,0.5
site1_train_to_site2_test,site1,site2,q6,rgb_linear,1800,8,997,4,2,2,1,"{""no"": 1773, ""yes"": 27}","{""no"": 954, ""yes"": 43}",0.9448345035105316,0.4858174316658071,0.4937106918238994,0.9096385542168675,0.9740210843373487,0.47634069400630913,0.49341971816156216,0.4894403379091869,0.4969418960244648
site1_train_to_site2_test,site1,site2,q6,mask_linear,1800,8,997,4,2,2,1,"{""no"": 1773, ""yes"": 27}","{""no"": 954, ""yes"": 43}",0.9037111334002006,0.4946568109820486,0.4944298181463605,0.8485456369107321,0.9458917835671342,0.4767872097449562,0.520550870075798,0.4710468386938975,0.5267801857585139
site1_train_to_site2_test,site1,site2,q6,rgb_mask_linear,1800,8,997,4,2,2,1,"{""no"": 1773, ""yes"": 27}","{""no"": 954, ""yes"": 43}",0.9438314944834504,0.48555211558307537,0.49318658280922434,0.9086345381526104,0.9729187562688064,0.47606522882693314,0.4931367564819522,0.4894403379091869,0.4968085106382979
site1_train_to_site2_test,site1,site2,q7,majority_prior,1800,8,997,4,2,2,1,"{""no"": 79, ""yes"": 1721}","{""no"": 46, ""yes"": 951}",0.9538615847542627,0.48819301848049285,0.5,0.9176706827309237,0.9859437751004017,0.47853403141361256,0.49646107178968657,0.5,0.5
site1_train_to_site2_test,site1,site2,q7,rgb_linear,1800,8,997,4,2,2,1,"{""no"": 79, ""yes"": 1721}","{""no"": 46, ""yes"": 951}",0.7352056168505516,0.4792167911865266,0.5612284551730444,0.6265060240963856,0.8134403209628887,0.424393681100125,0.522488038277512,0.517094017094017,0.6870987654320988
site1_train_to_site2_test,site1,site2,q7,mask_linear,1800,8,997,4,2,2,1,"{""no"": 79, ""yes"": 1721}","{""no"": 46, ""yes"": 951}",0.6178535606820461,0.4361236422906155,0.5824646824852557,0.4744232698094283,0.75,0.38994918072604307,0.4640249055567995,0.5241651487553127,0.6511655011655011
site1_train_to_site2_test,site1,site2,q7,rgb_mask_linear,1800,8,997,4,2,2,1,"{""no"": 79, ""yes"": 1721}","{""no"": 46, ""yes"": 951}",0.7301905717151455,0.4821619241990388,0.5792872491199196,0.6308926780341023,0.7981927710843374,0.4251997950110112,0.5329899339414911,0.5096153846153846,0.7132716049382717
site1_train_to_site2_test,site1,site2,q8.mask_center_5pct_v1,majority_prior,1800,8,997,4,2,2,1,"{""no"": 392, ""yes"": 1408}","{""no"": 265, ""yes"": 732}",0.7342026078234705,0.4233661075766339,0.5,0.4754262788365095,0.893574297188755,0.3222297756628144,0.471898197242842,0.5,0.5
site1_train_to_site2_test,site1,site2,q8.mask_center_5pct_v1,rgb_linear,1800,8,997,4,2,2,1,"{""no"": 392, ""yes"": 1408}","{""no"": 265, ""yes"": 732}",0.7261785356068204,0.6730185426565194,0.688336426435715,0.7028112449799196,0.7607607607607607,0.5746434937611409,0.7119995378126986,0.6522981662300548,0.7133754551295781
site1_train_to_site2_test,site1,site2,q8.mask_center_5pct_v1,mask_linear,1800,8,997,4,2,2,1,"{""no"": 392, ""yes"": 1408}","{""no"": 265, ""yes"": 732}",0.9819458375125376,0.9769267560145234,0.9780750592844623,0.9728915662650602,0.9879759519038076,0.9640763872207543,0.9778524085690614,0.9428344286622854,0.9799748743718593
site1_train_to_site2_test,site1,site2,q8.mask_center_5pct_v1,rgb_mask_linear,1800,8,997,4,2,2,1,"{""no"": 392, ""yes"": 1408}","{""no"": 265, ""yes"": 732}",0.9428284854563691,0.9273666330525339,0.9309722651819775,0.9116465863453815,0.9598393574297188,0.8485861964122834,0.9587729410423909,0.8576460481099656,0.9587276423748095
site1_train_to_site2_test,site1,site2,q9,majority_prior,1800,8,997,4,1,1,0,"{""none"": 1800}","{""none"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q9,rgb_linear,1800,8,997,4,1,1,0,"{""none"": 1800}","{""none"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q9,mask_linear,1800,8,997,4,1,1,0,"{""none"": 1800}","{""none"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q9,rgb_mask_linear,1800,8,997,4,1,1,0,"{""none"": 1800}","{""none"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site2_train_to_site1_test,site2,site1,q4.bleeding,majority_prior,2235,15,600,2,2,2,1,"{""no"": 1230, ""yes"": 1005}","{""no"": 397, ""yes"": 203}",0.6616666666666666,0.3981945837512538,0.5,0.5333333333333333,0.79,0.3478260869565218,0.44134078212290506,0.5,0.5
site2_train_to_site1_test,site2,site1,q4.bleeding,rgb_linear,2235,15,600,2,2,2,1,"{""no"": 1230, ""yes"": 1005}","{""no"": 397, ""yes"": 203}",0.4166666666666667,0.4122520263311092,0.4966063208050527,0.37333333333333335,0.46,0.37263626251390436,0.4359069594688704,0.4758928571428571,0.5334538878842676
site2_train_to_site1_test,site2,site1,q4.bleeding,mask_linear,2235,15,600,2,2,2,1,"{""no"": 1230, ""yes"": 1005}","{""no"": 397, ""yes"": 203}",0.5666666666666667,0.5288432497734823,0.5305182960876524,0.5566666666666666,0.5766666666666667,0.5117414554754709,0.5451235091154384,0.5305182960876524,0.6388386578259996
site2_train_to_site1_test,site2,site1,q4.bleeding,rgb_mask_linear,2235,15,600,2,2,2,1,"{""no"": 1230, ""yes"": 1005}","{""no"": 397, ""yes"": 203}",0.4533333333333333,0.4531145791649993,0.5134816542790138,0.42,0.4866666666666667,0.4105424815935679,0.4720000000000001,0.5,0.5222021297970665
site2_train_to_site1_test,site2,site1,q4.smoke,majority_prior,2235,15,600,2,2,1,0,"{""no"": 2215, ""yes"": 20}","{""no"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q4.smoke,rgb_linear,2235,15,600,2,2,1,0,"{""no"": 2215, ""yes"": 20}","{""no"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q4.smoke,mask_linear,2235,15,600,2,2,1,0,"{""no"": 2215, ""yes"": 20}","{""no"": 600}",0.9966666666666667,0.49916527545909856,0.49833333333333335,0.9933333333333333,1.0,0.4983277591973244,0.5,0.49666666666666665,0.5
site2_train_to_site1_test,site2,site1,q4.smoke,rgb_mask_linear,2235,15,600,2,2,1,0,"{""no"": 2215, ""yes"": 20}","{""no"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q4.occlusion,majority_prior,2235,15,600,2,2,2,1,"{""no"": 2039, ""yes"": 196}","{""no"": 582, ""yes"": 18}",0.97,0.49238578680203043,0.5,0.96,0.98,0.4897959183673469,0.494949494949495,0.5,0.5
site2_train_to_site1_test,site2,site1,q4.occlusion,rgb_linear,2235,15,600,2,2,2,1,"{""no"": 2039, ""yes"": 196}","{""no"": 582, ""yes"": 18}",0.8866666666666667,0.46996466431095407,0.4570446735395189,0.8366666666666667,0.9366666666666666,0.455535390199637,0.4836488812392426,0.4357638888888889,0.477891156462585
site2_train_to_site1_test,site2,site1,q4.occlusion,mask_linear,2235,15,600,2,2,2,1,"{""no"": 2039, ""yes"": 196}","{""no"": 582, ""yes"": 18}",0.9616666666666667,0.49022939677145283,0.4957044673539519,0.9466666666666667,0.9766666666666667,0.4863013698630137,0.494097807757167,0.4930555555555556,0.49829931972789115
site2_train_to_site1_test,site2,site1,q4.occlusion,rgb_mask_linear,2235,15,600,2,2,2,1,"{""no"": 2039, ""yes"": 196}","{""no"": 582, ""yes"": 18}",0.9466666666666667,0.5156896377762082,0.5148911798396334,0.9133333333333333,0.98,0.494949494949495,0.5156896377762082,0.5,0.515625
site2_train_to_site1_test,site2,site1,q5,majority_prior,2235,15,600,2,3,2,1,"{""blurry"": 182, ""clear"": 2027, ""mixed"": 26}","{""blurry"": 7, ""clear"": 593}",0.9883333333333333,0.33137747974294496,0.3333333333333333,0.98,0.9966666666666667,0.32996632996632996,0.3327768503060657,0.3333333333333333,0.3333333333333333
site2_train_to_site1_test,site2,site1,q5,rgb_linear,2235,15,600,2,3,2,1,"{""blurry"": 182, ""clear"": 2027, ""mixed"": 26}","{""blurry"": 7, ""clear"": 593}",0.9216666666666666,0.34636495503336234,0.40496265960009636,0.91,0.9333333333333333,0.3176265270506108,0.3797302737520129,0.3043478260869565,0.4263038548752835
site2_train_to_site1_test,site2,site1,q5,mask_linear,2235,15,600,2,3,2,1,"{""blurry"": 182, ""clear"": 2027, ""mixed"": 26}","{""blurry"": 7, ""clear"": 593}",0.76,0.3004043696058905,0.3504376455472577,0.6833333333333333,0.8366666666666667,0.27951015368973375,0.3244156041287189,0.3390022675736961,0.5607580824972129
site2_train_to_site1_test,site2,site1,q5,rgb_mask_linear,2235,15,600,2,3,2,1,"{""blurry"": 182, ""clear"": 2027, ""mixed"": 26}","{""blurry"": 7, ""clear"": 593}",0.9683333333333334,0.38592343590311895,0.4207018389143178,0.9633333333333334,0.9733333333333334,0.3288288288288288,0.41595441595441596,0.3255295429208473,0.4365079365079365
site2_train_to_site1_test,site2,site1,q6,majority_prior,2235,15,600,2,2,2,1,"{""no"": 2171, ""yes"": 64}","{""no"": 599, ""yes"": 1}",0.9983333333333333,0.49958298582151794,0.5,0.9966666666666667,1.0,0.49916527545909856,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q6,rgb_linear,2235,15,600,2,2,2,1,"{""no"": 2171, ""yes"": 64}","{""no"": 599, ""yes"": 1}",0.9983333333333333,0.49958298582151794,0.5,0.9966666666666667,1.0,0.49916527545909856,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q6,mask_linear,2235,15,600,2,2,2,1,"{""no"": 2171, ""yes"": 64}","{""no"": 599, ""yes"": 1}",0.9083333333333333,0.49348436708569327,0.9540901502504173,0.8433333333333334,0.9733333333333334,0.47775843549761104,0.49348436708569327,0.4866666666666667,0.9540901502504173
site2_train_to_site1_test,site2,site1,q6,rgb_mask_linear,2235,15,600,2,2,2,1,"{""no"": 2171, ""yes"": 64}","{""no"": 599, ""yes"": 1}",0.9983333333333333,0.49958298582151794,0.5,0.9966666666666667,1.0,0.49916527545909856,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q7,majority_prior,2235,15,600,2,2,2,1,"{""no"": 144, ""yes"": 2091}","{""no"": 1, ""yes"": 599}",0.9983333333333333,0.49958298582151794,0.5,0.9966666666666667,1.0,0.49916527545909856,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q7,rgb_linear,2235,15,600,2,2,2,1,"{""no"": 144, ""yes"": 2091}","{""no"": 1, ""yes"": 599}",0.9316666666666666,0.48231233822260566,0.4666110183639399,0.9033333333333333,0.96,0.4746059544658494,0.4897959183673469,0.4531772575250836,0.48
site2_train_to_site1_test,site2,site1,q7,mask_linear,2235,15,600,2,2,2,1,"{""no"": 144, ""yes"": 2091}","{""no"": 1, ""yes"": 599}",0.8766666666666667,0.48023974527064994,0.9382303839732888,0.87,0.8833333333333333,0.4690265486725664,0.4895065229722065,0.44166666666666665,0.9382303839732888
site2_train_to_site1_test,site2,site1,q7,rgb_mask_linear,2235,15,600,2,2,2,1,"{""no"": 144, ""yes"": 2091}","{""no"": 1, ""yes"": 599}",0.9466666666666667,0.5156896377762082,0.9732888146911519,0.9066666666666666,0.9866666666666667,0.4966442953020134,0.5156896377762082,0.49333333333333335,0.9732888146911519
site2_train_to_site1_test,site2,site1,q8.mask_center_5pct_v1,majority_prior,2235,15,600,2,2,2,1,"{""no"": 462, ""yes"": 1773}","{""no"": 129, ""yes"": 471}",0.785,0.43977591036414565,0.5,0.68,0.89,0.40476190476190477,0.4708994708994709,0.5,0.5
site2_train_to_site1_test,site2,site1,q8.mask_center_5pct_v1,rgb_linear,2235,15,600,2,2,2,1,"{""no"": 462, ""yes"": 1773}","{""no"": 129, ""yes"": 471}",0.8433333333333334,0.7536644595468125,0.7397916358070409,0.7966666666666666,0.89,0.7430893852395726,0.7536644595468125,0.7264093137254901,0.7788559754851889
site2_train_to_site1_test,site2,site1,q8.mask_center_5pct_v1,mask_linear,2235,15,600,2,2,2,1,"{""no"": 462, ""yes"": 1773}","{""no"": 129, ""yes"": 471}",0.985,0.9780871724742423,0.9848170641386461,0.9766666666666667,0.9933333333333333,0.9734093067426401,0.9834144183989385,0.977328431372549,0.9962546816479401
site2_train_to_site1_test,site2,site1,q8.mask_center_5pct_v1,rgb_mask_linear,2235,15,600,2,2,2,1,"{""no"": 462, ""yes"": 1773}","{""no"": 129, ""yes"": 471}",0.9083333333333333,0.8606413033838826,0.851552856366958,0.88,0.9366666666666666,0.8532927624429472,0.8606413033838826,0.8345588235294118,0.9113040517534899
site2_train_to_site1_test,site2,site1,q9,majority_prior,2235,15,600,2,2,1,0,"{""near instrument jaws"": 2, ""none"": 2233}","{""none"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q9,rgb_linear,2235,15,600,2,2,1,0,"{""near instrument jaws"": 2, ""none"": 2233}","{""none"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q9,mask_linear,2235,15,600,2,2,1,0,"{""near instrument jaws"": 2, ""none"": 2233}","{""none"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
site2_train_to_site1_test,site2,site1,q9,rgb_mask_linear,2235,15,600,2,2,1,0,"{""near instrument jaws"": 2, ""none"": 2233}","{""none"": 600}",1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5
