direction,task,condition,label,support,precision,recall,f1
site2_train_to_site1_test,q4.occlusion,rgb_mask_linear,yes,18,0.0625,0.05555555555555555,0.058823529411764705
site2_train_to_site1_test,q5,majority_prior,blurry,7,0.0,0.0,0.0
site2_train_to_site1_test,q5,majority_prior,clear,593,0.9883333333333333,1.0,0.9941324392288349
site2_train_to_site1_test,q5,majority_prior,mixed,0,0.0,0.0,0.0
site2_train_to_site1_test,q5,rgb_linear,blurry,7,0.046511627906976744,0.2857142857142857,0.08
site2_train_to_site1_test,q5,rgb_linear,clear,593,0.9910071942446043,0.9291736930860034,0.959094865100087
site2_train_to_site1_test,q5,rgb_linear,mixed,0,0.0,0.0,0.0
site2_train_to_site1_test,q5,mask_linear,blurry,7,0.02040816326530612,0.2857142857142857,0.038095238095238085
site2_train_to_site1_test,q5,mask_linear,clear,593,0.9891067538126361,0.7655986509274874,0.8631178707224334
site2_train_to_site1_test,q5,mask_linear,mixed,0,0.0,0.0,0.0
site2_train_to_site1_test,q5,rgb_mask_linear,blurry,7,0.125,0.2857142857142857,0.17391304347826086
site2_train_to_site1_test,q5,rgb_mask_linear,clear,593,0.9914383561643836,0.9763912310286678,0.9838572642310961
site2_train_to_site1_test,q5,rgb_mask_linear,mixed,0,0.0,0.0,0.0
site2_train_to_site1_test,q6,majority_prior,no,599,0.9983333333333333,1.0,0.9991659716430359
site2_train_to_site1_test,q6,majority_prior,yes,1,0.0,0.0,0.0
site2_train_to_site1_test,q6,rgb_linear,no,599,0.9983333333333333,1.0,0.9991659716430359
site2_train_to_site1_test,q6,rgb_linear,yes,1,0.0,0.0,0.0
site2_train_to_site1_test,q6,mask_linear,no,599,1.0,0.9081803005008348,0.9518810148731409
site2_train_to_site1_test,q6,mask_linear,yes,1,0.017857142857142856,1.0,0.03508771929824561
site2_train_to_site1_test,q6,rgb_mask_linear,no,599,0.9983333333333333,1.0,0.9991659716430359
site2_train_to_site1_test,q6,rgb_mask_linear,yes,1,0.0,0.0,0.0
site2_train_to_site1_test,q7,majority_prior,no,1,0.0,0.0,0.0
site2_train_to_site1_test,q7,majority_prior,yes,599,0.9983333333333333,1.0,0.9991659716430359
site2_train_to_site1_test,q7,rgb_linear,no,1,0.0,0.0,0.0
site2_train_to_site1_test,q7,rgb_linear,yes,599,0.9982142857142857,0.9332220367278798,0.9646246764452113
site2_train_to_site1_test,q7,mask_linear,no,1,0.013333333333333334,1.0,0.02631578947368421
site2_train_to_site1_test,q7,mask_linear,yes,599,1.0,0.8764607679465777,0.9341637010676157
site2_train_to_site1_test,q7,rgb_mask_linear,no,1,0.030303030303030304,1.0,0.05882352941176471
site2_train_to_site1_test,q7,rgb_mask_linear,yes,599,1.0,0.9465776293823038,0.9725557461406518
site2_train_to_site1_test,q8.mask_center_5pct_v1,majority_prior,no,129,0.0,0.0,0.0
site2_train_to_site1_test,q8.mask_center_5pct_v1,majority_prior,yes,471,0.785,1.0,0.8795518207282913
site2_train_to_site1_test,q8.mask_center_5pct_v1,rgb_linear,no,129,0.6605504587155964,0.5581395348837209,0.6050420168067226
site2_train_to_site1_test,q8.mask_center_5pct_v1,rgb_linear,yes,471,0.8839103869653768,0.921443736730361,0.9022869022869022
site2_train_to_site1_test,q8.mask_center_5pct_v1,mask_linear,no,129,0.9477611940298507,0.9844961240310077,0.9657794676806083
site2_train_to_site1_test,q8.mask_center_5pct_v1,mask_linear,yes,471,0.9957081545064378,0.9851380042462845,0.9903948772678762
site2_train_to_site1_test,q8.mask_center_5pct_v1,rgb_mask_linear,no,129,0.8083333333333333,0.751937984496124,0.7791164658634538
site2_train_to_site1_test,q8.mask_center_5pct_v1,rgb_mask_linear,yes,471,0.9333333333333333,0.9511677282377919,0.9421661409043113
site2_train_to_site1_test,q9,majority_prior,near instrument jaws,0,0.0,0.0,0.0
site2_train_to_site1_test,q9,majority_prior,none,600,1.0,1.0,1.0
site2_train_to_site1_test,q9,rgb_linear,near instrument jaws,0,0.0,0.0,0.0
site2_train_to_site1_test,q9,rgb_linear,none,600,1.0,1.0,1.0
site2_train_to_site1_test,q9,mask_linear,near instrument jaws,0,0.0,0.0,0.0
site2_train_to_site1_test,q9,mask_linear,none,600,1.0,1.0,1.0
site2_train_to_site1_test,q9,rgb_mask_linear,near instrument jaws,0,0.0,0.0,0.0
site2_train_to_site1_test,q9,rgb_mask_linear,none,600,1.0,1.0,1.0
