sample_id,record_id,dataset,site,split,video_key,frame_index,representative_stratum,challenge_additional_stratum,challenge_smoke_flag,challenge_reasons,central_area_instrument_fraction,sequence_key
HR0070,site1/train/video6frame017,EndoVis 2017,site1,train,site1/video6,17,1,0,0,,0.07658996433019638,site1/train/video6
HR0071,site1/train/video6frame056,EndoVis 2017,site1,train,site1/video6,56,1,0,0,,0.23885193467140198,site1/train/video6
HR0072,site1/train/video6frame082,EndoVis 2017,site1,train,site1/video6,82,1,0,0,,0.030487060546875,site1/train/video6
HR0073,site1/train/video6frame098,EndoVis 2017,site1,train,site1/video6,98,1,0,0,,0.32211607694625854,site1/train/video6
HR0074,site1/train/video6frame127,EndoVis 2017,site1,train,site1/video6,127,1,0,0,,0.011199951171875,site1/train/video6
HR0075,site1/train/video6frame153,EndoVis 2017,site1,train,site1/video6,153,1,0,0,,0.14960022270679474,site1/train/video6
HR0076,site1/train/video6frame193,EndoVis 2017,site1,train,site1/video6,193,1,0,0,,0.05823364108800888,site1/train/video6
HR0077,site1/train/video6frame200,EndoVis 2017,site1,train,site1/video6,200,1,0,0,,0.0,site1/train/video6
HR0078,site1/train/video7frame011,EndoVis 2017,site1,train,site1/video7,11,1,0,0,,0.009579467587172985,site1/train/video7
HR0079,site1/train/video7frame052,EndoVis 2017,site1,train,site1/video7,52,1,0,0,,0.0,site1/train/video7
HR0080,site1/train/video7frame079,EndoVis 2017,site1,train,site1/video7,79,1,0,0,,0.0,site1/train/video7
HR0081,site1/train/video7frame088,EndoVis 2017,site1,train,site1/video7,88,1,0,0,,0.0131988525390625,site1/train/video7
HR0082,site1/train/video7frame097,EndoVis 2017,site1,train,site1/video7,97,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0,site1/train/video7
HR0083,site1/train/video7frame107,EndoVis 2017,site1,train,site1/video7,107,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.2981933653354645,site1/train/video7
HR0084,site1/train/video7frame131,EndoVis 2017,site1,train,site1/video7,131,1,0,0,,0.05195922777056694,site1/train/video7
HR0085,site1/train/video7frame157,EndoVis 2017,site1,train,site1/video7,157,1,0,0,,0.0,site1/train/video7
HR0086,site1/train/video7frame178,EndoVis 2017,site1,train,site1/video7,178,1,0,0,,0.15277405083179474,site1/train/video7
HR0087,site1/train/video7frame216,EndoVis 2017,site1,train,site1/video7,216,1,0,0,,0.44110107421875,site1/train/video7
HR0088,site1/train/video8frame017,EndoVis 2017,site1,train,site1/video8,17,1,0,0,,0.17568358778953552,site1/train/video8
HR0089,site1/train/video8frame036,EndoVis 2017,site1,train,site1/video8,36,1,0,0,,0.17188720405101776,site1/train/video8
HR0090,site1/train/video8frame057,EndoVis 2017,site1,train,site1/video8,57,1,0,0,,0.13727112114429474,site1/train/video8
HR0091,site1/train/video8frame090,EndoVis 2017,site1,train,site1/video8,90,1,0,0,,0.07791747897863388,site1/train/video8
HR0092,site1/train/video8frame117,EndoVis 2017,site1,train,site1/video8,117,1,0,0,,0.1524200439453125,site1/train/video8
HR0093,site1/train/video8frame147,EndoVis 2017,site1,train,site1/video8,147,1,0,0,,0.19274596869945526,site1/train/video8
HR0094,site1/train/video8frame190,EndoVis 2017,site1,train,site1/video8,190,1,0,0,,0.19284668564796448,site1/train/video8
HR0095,site1/train/video8frame223,EndoVis 2017,site1,train,site1/video8,223,1,0,0,,0.23105163872241974,site1/train/video8
HR0096,site2/test/video1frame001,EndoVis 2018,site2,test,site2/video1,1,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.08208923041820526,site2/test/video1
HR0097,site2/test/video1frame012,EndoVis 2018,site2,test,site2/video1,12,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement,0.13461609184741974,site2/test/video1
HR0098,site2/test/video1frame024,EndoVis 2018,site2,test,site2/video1,24,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.10571899265050888,site2/test/video1
HR0099,site2/test/video1frame060,EndoVis 2018,site2,test,site2/video1,60,1,0,0,,0.08472900092601776,site2/test/video1
HR0100,site2/test/video1frame078,EndoVis 2018,site2,test,site2/video1,78,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.2262115478515625,site2/test/video1
HR0101,site2/test/video1frame092,EndoVis 2018,site2,test,site2/video1,92,1,0,0,,0.11597900092601776,site2/test/video1
HR0102,site2/test/video1frame121,EndoVis 2018,site2,test,site2/video1,121,1,0,0,,0.04671020433306694,site2/test/video1
HR0103,site2/test/video1frame145,EndoVis 2018,site2,test,site2/video1,145,1,0,0,,0.166168212890625,site2/test/video1
HR0104,site2/test/video1frame200,EndoVis 2018,site2,test,site2/video1,200,1,0,0,,0.20476989448070526,site2/test/video1
HR0105,site2/test/video1frame236,EndoVis 2018,site2,test,site2/video1,236,1,0,0,,0.11696472018957138,site2/test/video1
HR0106,site2/test/video2frame000,EndoVis 2018,site2,test,site2/video2,0,1,0,0,,0.06510315090417862,site2/test/video2
HR0107,site2/test/video2frame097,EndoVis 2018,site2,test,site2/video2,97,1,0,0,,0.1478271484375,site2/test/video2
HR0108,site2/test/video2frame114,EndoVis 2018,site2,test,site2/video2,114,1,0,0,,0.13021239638328552,site2/test/video2
HR0109,site2/test/video2frame135,EndoVis 2018,site2,test,site2/video2,135,1,0,0,,0.10602416843175888,site2/test/video2
HR0110,site2/test/video2frame166,EndoVis 2018,site2,test,site2/video2,166,1,0,0,,0.05120239406824112,site2/test/video2
HR0111,site2/test/video2frame239,EndoVis 2018,site2,test,site2/video2,239,1,0,0,,0.1602935791015625,site2/test/video2
HR0112,site2/test/video3frame004,EndoVis 2018,site2,test,site2/video3,4,1,0,0,,0.012844848446547985,site2/test/video3
HR0113,site2/test/video3frame041,EndoVis 2018,site2,test,site2/video3,41,1,0,0,,0.0565338134765625,site2/test/video3
HR0114,site2/test/video3frame063,EndoVis 2018,site2,test,site2/video3,63,1,0,0,,0.541827380657196,site2/test/video3
HR0115,site2/test/video3frame091,EndoVis 2018,site2,test,site2/video3,91,1,0,0,,0.13699951767921448,site2/test/video3
HR0116,site2/test/video3frame111,EndoVis 2018,site2,test,site2/video3,111,1,0,0,,0.15890808403491974,site2/test/video3
HR0117,site2/test/video3frame176,EndoVis 2018,site2,test,site2/video3,176,1,0,0,,0.02218322828412056,site2/test/video3
HR0118,site2/test/video3frame227,EndoVis 2018,site2,test,site2/video3,227,1,0,0,,0.13909606635570526,site2/test/video3
HR0119,site2/test/video4frame036,EndoVis 2018,site2,test,site2/video4,36,1,0,0,,0.0,site2/test/video4
HR0120,site2/test/video4frame073,EndoVis 2018,site2,test,site2/video4,73,1,0,0,,0.0,site2/test/video4
HR0121,site2/test/video4frame112,EndoVis 2018,site2,test,site2/video4,112,1,0,0,,0.24410399794578552,site2/test/video4
HR0122,site2/test/video4frame160,EndoVis 2018,site2,test,site2/video4,160,1,0,0,,0.14713439345359802,site2/test/video4
HR0123,site2/test/video4frame248,EndoVis 2018,site2,test,site2/video4,248,1,0,0,,0.22417601943016052,site2/test/video4
HR0124,site2/train/video10frame013,EndoVis 2018,site2,train,site2/video10,13,1,0,0,,0.17572326958179474,site2/train/video10
HR0125,site2/train/video10frame034,EndoVis 2018,site2,train,site2/video10,34,1,0,0,,0.22431640326976776,site2/train/video10
HR0126,site2/train/video10frame053,EndoVis 2018,site2,train,site2/video10,53,1,0,0,,0.2883148193359375,site2/train/video10
HR0127,site2/train/video10frame057,EndoVis 2018,site2,train,site2/video10,57,1,0,0,,0.09428711235523224,site2/train/video10
HR0128,site2/train/video10frame084,EndoVis 2018,site2,train,site2/video10,84,1,0,0,,0.05262146145105362,site2/train/video10
HR0129,site2/train/video10frame112,EndoVis 2018,site2,train,site2/video10,112,1,0,0,,0.01251220703125,site2/train/video10
HR0130,site2/train/video10frame128,EndoVis 2018,site2,train,site2/video10,128,1,0,0,,0.052459716796875,site2/train/video10
HR0131,site2/train/video10frame143,EndoVis 2018,site2,train,site2/video10,143,1,0,0,,0.251181036233902,site2/train/video10
HR0132,site2/train/video11frame004,EndoVis 2018,site2,train,site2/video11,4,1,0,0,,0.1819610595703125,site2/train/video11
HR0133,site2/train/video11frame025,EndoVis 2018,site2,train,site2/video11,25,1,0,0,,0.04871521145105362,site2/train/video11
HR0134,site2/train/video11frame043,EndoVis 2018,site2,train,site2/video11,43,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6 | q8_disagrees_with_5pct_mask_rule,0.15169373154640198,site2/train/video11
HR0135,site2/train/video11frame045,EndoVis 2018,site2,train,site2/video11,45,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | semantic_occlusion_positive,0.24202576279640198,site2/train/video11
HR0136,site2/train/video11frame055,EndoVis 2018,site2,train,site2/video11,55,1,0,0,,0.3800201416015625,site2/train/video11
HR0137,site2/train/video11frame062,EndoVis 2018,site2,train,site2/video11,62,1,0,0,,0.0072174072265625,site2/train/video11
HR0138,site2/train/video11frame084,EndoVis 2018,site2,train,site2/video11,84,1,0,0,,0.08032532036304474,site2/train/video11
HR0139,site2/train/video11frame086,EndoVis 2018,site2,train,site2/video11,86,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule,0.04435119777917862,site2/train/video11
HR0140,site2/train/video11frame087,EndoVis 2018,site2,train,site2/video11,87,0,1,1,all_machine_smoke_positive | contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule,0.04557495191693306,site2/train/video11
HR0141,site2/train/video11frame088,EndoVis 2018,site2,train,site2/video11,88,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality,0.5003662109375,site2/train/video11
HR0142,site2/train/video11frame106,EndoVis 2018,site2,train,site2/video11,106,1,0,0,,0.3311309814453125,site2/train/video11
HR0143,site2/train/video11frame124,EndoVis 2018,site2,train,site2/video11,124,1,0,0,,0.3397064208984375,site2/train/video11
HR0144,site2/train/video11frame137,EndoVis 2018,site2,train,site2/video11,137,1,0,0,,0.05446166917681694,site2/train/video11
HR0145,site2/train/video12frame006,EndoVis 2018,site2,train,site2/video12,6,1,0,0,,0.08362732082605362,site2/train/video12
HR0146,site2/train/video12frame011,EndoVis 2018,site2,train,site2/video12,11,0,1,1,all_machine_smoke_positive,0.008465575985610485,site2/train/video12
HR0147,site2/train/video12frame013,EndoVis 2018,site2,train,site2/video12,13,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality,0.0,site2/train/video12
HR0148,site2/train/video12frame014,EndoVis 2018,site2,train,site2/video12,14,0,1,1,all_machine_smoke_positive,0.0053802491165697575,site2/train/video12
HR0149,site2/train/video12frame023,EndoVis 2018,site2,train,site2/video12,23,1,0,0,,0.04433899000287056,site2/train/video12
HR0150,site2/train/video12frame030,EndoVis 2018,site2,train,site2/video12,30,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6,0.43395692110061646,site2/train/video12
HR0151,site2/train/video12frame034,EndoVis 2018,site2,train,site2/video12,34,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6,0.3835601806640625,site2/train/video12
HR0152,site2/train/video12frame035,EndoVis 2018,site2,train,site2/video12,35,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality,0.3861328065395355,site2/train/video12
HR0153,site2/train/video12frame036,EndoVis 2018,site2,train,site2/video12,36,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality,0.33548277616500854,site2/train/video12
HR0154,site2/train/video12frame038,EndoVis 2018,site2,train,site2/video12,38,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6 | q8_disagrees_with_5pct_mask_rule,0.361166387796402,site2/train/video12
HR0155,site2/train/video12frame044,EndoVis 2018,site2,train,site2/video12,44,1,0,0,,0.3862670958042145,site2/train/video12
HR0156,site2/train/video12frame052,EndoVis 2018,site2,train,site2/video12,52,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | semantic_occlusion_positive,0.45512086153030396,site2/train/video12
HR0157,site2/train/video12frame053,EndoVis 2018,site2,train,site2/video12,53,0,1,1,all_machine_smoke_positive | q8_disagrees_with_5pct_mask_rule,0.12994384765625,site2/train/video12
HR0158,site2/train/video12frame067,EndoVis 2018,site2,train,site2/video12,67,1,0,0,,0.10168762505054474,site2/train/video12
HR0159,site2/train/video12frame069,EndoVis 2018,site2,train,site2/video12,69,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6,0.4015350341796875,site2/train/video12
HR0160,site2/train/video12frame072,EndoVis 2018,site2,train,site2/video12,72,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality,0.441976934671402,site2/train/video12
HR0161,site2/train/video12frame091,EndoVis 2018,site2,train,site2/video12,91,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6,0.47420042753219604,site2/train/video12
HR0162,site2/train/video12frame092,EndoVis 2018,site2,train,site2/video12,92,1,0,0,,0.4302001893520355,site2/train/video12
HR0163,site2/train/video12frame095,EndoVis 2018,site2,train,site2/video12,95,0,1,1,all_machine_smoke_positive | machine_min_confidence_le_0.6,0.3944549560546875,site2/train/video12
HR0164,site2/train/video12frame111,EndoVis 2018,site2,train,site2/video12,111,1,0,0,,0.0,site2/train/video12
HR0165,site2/train/video12frame130,EndoVis 2018,site2,train,site2/video12,130,1,0,0,,0.013500976376235485,site2/train/video12
HR0166,site2/train/video12frame141,EndoVis 2018,site2,train,site2/video12,141,1,0,0,,0.18938598036766052,site2/train/video12
HR0167,site2/train/video13frame006,EndoVis 2018,site2,train,site2/video13,6,1,0,0,,0.405111700296402,site2/train/video13
HR0168,site2/train/video13frame034,EndoVis 2018,site2,train,site2/video13,34,1,0,0,,0.2481689453125,site2/train/video13
HR0169,site2/train/video13frame044,EndoVis 2018,site2,train,site2/video13,44,1,0,0,,0.30133056640625,site2/train/video13
HR0170,site2/train/video13frame069,EndoVis 2018,site2,train,site2/video13,69,1,0,0,,0.16695556044578552,site2/train/video13
HR0171,site2/train/video13frame077,EndoVis 2018,site2,train,site2/video13,77,1,0,0,,0.15878906846046448,site2/train/video13
HR0172,site2/train/video13frame089,EndoVis 2018,site2,train,site2/video13,89,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement,0.23355713486671448,site2/train/video13
HR0173,site2/train/video13frame108,EndoVis 2018,site2,train,site2/video13,108,1,0,0,,0.11695556342601776,site2/train/video13
HR0174,site2/train/video13frame122,EndoVis 2018,site2,train,site2/video13,122,1,0,0,,0.17525939643383026,site2/train/video13
HR0175,site2/train/video13frame142,EndoVis 2018,site2,train,site2/video13,142,1,0,0,,0.3064819276332855,site2/train/video13
HR0176,site2/train/video14frame015,EndoVis 2018,site2,train,site2/video14,15,1,0,0,,0.013027953915297985,site2/train/video14
HR0177,site2/train/video14frame028,EndoVis 2018,site2,train,site2/video14,28,1,0,0,,0.307281494140625,site2/train/video14
HR0178,site2/train/video14frame045,EndoVis 2018,site2,train,site2/video14,45,1,0,0,,0.204864501953125,site2/train/video14
HR0179,site2/train/video14frame061,EndoVis 2018,site2,train,site2/video14,61,1,0,0,,0.13060303032398224,site2/train/video14
HR0180,site2/train/video14frame090,EndoVis 2018,site2,train,site2/video14,90,1,0,0,,0.18207702040672302,site2/train/video14
HR0181,site2/train/video14frame105,EndoVis 2018,site2,train,site2/video14,105,1,0,0,,0.01485595665872097,site2/train/video14
HR0182,site2/train/video14frame118,EndoVis 2018,site2,train,site2/video14,118,1,0,0,,0.04635315015912056,site2/train/video14
HR0183,site2/train/video14frame124,EndoVis 2018,site2,train,site2/video14,124,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.03384094312787056,site2/train/video14
HR0184,site2/train/video14frame141,EndoVis 2018,site2,train,site2/video14,141,1,0,0,,0.286285400390625,site2/train/video14
HR0185,site2/train/video15frame018,EndoVis 2018,site2,train,site2/video15,18,1,0,0,,0.05412597581744194,site2/train/video15
