sample_id,q4_bleeding,q4_smoke,q4_occlusion,q5_value,q6_glare,q7_contrast_normal,q9_smoke_region,global_unusable_frame_yes_no
HR0024,no,no,no,blurry,yes,yes,none,no
HR0130,no,no,no,reflective,yes,yes,none,no
HR0220,no,no,no,clear,no,yes,none,no
HR0188,no,no,no,clear,no,yes,none,no
HR0012,no,no,no,clear,no,yes,none,no
HR0056,no,no,no,clear,no,yes,none,no
HR0046,no,no,no,clear,no,yes,none,no
HR0157,no,no,no,clear,no,yes,none,no
HR0122,no,no,no,blurry,yes,yes,none,no
HR0087,no,no,no,clear,no,yes,none,no
HR0069,yes,no,no,clear,no,yes,none,no
HR0057,yes,no,no,clear,no,yes,none,no
HR0104,yes,no,no,clear,no,yes,none,no
HR0177,no,no,no,clear,no,yes,none,no
HR0217,yes,no,no,clear,no,yes,none,no
HR0027,yes,no,no,blurry,no,yes,none,no
HR0235,no,no,no,clear,no,yes,none,no
HR0011,no,no,no,blurry,no,yes,none,no
HR0250,no,no,no,mixed,yes,yes,none,no
HR0063,yes,no,no,clear,no,yes,none,no
HR0132,no,no,no,clear,no,yes,none,no
HR0086,no,no,no,clear,no,yes,none,no
HR0068,no,no,no,clear,no,yes,none,no
HR0035,no,no,no,clear,no,yes,none,no
HR0202,no,no,no,clear,no,yes,none,no
HR0117,no,no,no,clear,no,yes,none,no
HR0064,no,no,no,blurry,no,yes,none,no
HR0222,no,no,no,clear,no,yes,none,no
HR0206,yes,no,no,clear,no,yes,none,no
HR0147,no,yes,no,clear,yes,yes,multiple,no
HR0249,uncertain,uncertain,uncertain,mixed,yes,uncertain,uncertain,yes
HR0163,no,no,no,clear,no,yes,none,no
HR0134,no,no,no,clear,no,yes,none,no
HR0237,yes,no,no,clear,no,yes,none,no
HR0175,no,no,no,clear,yes,yes,none,no
HR0152,no,yes,no,clear,yes,yes,multiple,no
HR0247,no,no,no,clear,no,yes,none,no
HR0139,no,yes,no,clear,no,yes,multiple,no
HR0067,no,no,no,clear,no,yes,none,no
HR0098,no,no,no,blurry,no,yes,none,no
HR0211,no,no,no,clear,no,yes,none,no
HR0205,no,no,no,clear,no,yes,none,no
HR0020,no,no,no,clear,no,yes,none,no
HR0223,no,no,no,clear,no,yes,none,no
HR0004,no,no,no,clear,no,yes,none,no
HR0179,no,no,no,clear,yes,yes,none,no
HR0219,yes,no,no,clear,no,yes,none,no
HR0180,no,no,no,clear,no,yes,none,no
HR0200,no,no,no,clear,no,yes,none,no
HR0010,no,no,no,clear,no,yes,none,no
HR0143,no,no,no,clear,no,yes,none,no
HR0094,no,no,no,clear,no,yes,none,no
