sample_id,record_id,dataset,site,split,video_key,representative_stratum,challenge_additional_stratum,q4_bleeding,q4_bleeding_resolution,q4_smoke,q4_smoke_resolution,q4_occlusion,q4_occlusion_resolution,q5_value,q5_value_resolution,q6_glare,q6_glare_resolution,q7_contrast_normal,q7_contrast_normal_resolution,q9_smoke_region,q9_smoke_region_resolution,global_unusable_frame_yes_no,global_unusable_frame_yes_no_resolution
HR0024,site1/train/video1frame162,EndoVis 2017,site1,train,site1/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0025,site1/train/video1frame164,EndoVis 2017,site1,train,site1/video1,0,1,no,annotator_agreement,no,annotator_agreement,yes,third_reviewer_adjudication,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0026,site1/train/video1frame166,EndoVis 2017,site1,train,site1/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0027,site1/train/video1frame176,EndoVis 2017,site1,train,site1/video1,0,1,yes,third_reviewer_adjudication,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0028,site1/train/video1frame181,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0029,site1/train/video1frame200,EndoVis 2017,site1,train,site1/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,yes,annotator_agreement
HR0030,site1/train/video1frame205,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0031,site1/train/video2frame005,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,yes,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0032,site1/train/video2frame045,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0033,site1/train/video2frame054,EndoVis 2017,site1,train,site1/video2,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0034,site1/train/video2frame060,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0035,site1/train/video2frame097,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0036,site1/train/video2frame130,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0037,site1/train/video2frame158,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0038,site1/train/video2frame182,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0039,site1/train/video2frame196,EndoVis 2017,site1,train,site1/video2,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,yes,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0040,site1/train/video2frame203,EndoVis 2017,site1,train,site1/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0041,site1/train/video3frame014,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0042,site1/train/video3frame037,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0043,site1/train/video3frame074,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0044,site1/train/video3frame104,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0045,site1/train/video3frame122,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0046,site1/train/video3frame144,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0047,site1/train/video3frame196,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0048,site1/train/video3frame216,EndoVis 2017,site1,train,site1/video3,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0049,site1/train/video4frame015,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,yes,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0050,site1/train/video4frame051,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0051,site1/train/video4frame063,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0052,site1/train/video4frame101,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0053,site1/train/video4frame116,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0054,site1/train/video4frame154,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0055,site1/train/video4frame192,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0056,site1/train/video4frame224,EndoVis 2017,site1,train,site1/video4,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0057,site1/train/video5frame024,EndoVis 2017,site1,train,site1/video5,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0058,site1/train/video5frame041,EndoVis 2017,site1,train,site1/video5,1,0,yes,third_reviewer_adjudication,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0059,site1/train/video5frame059,EndoVis 2017,site1,train,site1/video5,0,1,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0060,site1/train/video5frame060,EndoVis 2017,site1,train,site1/video5,0,1,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0061,site1/train/video5frame062,EndoVis 2017,site1,train,site1/video5,0,1,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0062,site1/train/video5frame075,EndoVis 2017,site1,train,site1/video5,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0063,site1/train/video5frame100,EndoVis 2017,site1,train,site1/video5,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0064,site1/train/video5frame122,EndoVis 2017,site1,train,site1/video5,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0065,site1/train/video5frame149,EndoVis 2017,site1,train,site1/video5,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0066,site1/train/video5frame159,EndoVis 2017,site1,train,site1/video5,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0067,site1/train/video5frame169,EndoVis 2017,site1,train,site1/video5,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0068,site1/train/video5frame224,EndoVis 2017,site1,train,site1/video5,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0069,site1/train/video6frame003,EndoVis 2017,site1,train,site1/video6,0,1,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0070,site1/train/video6frame017,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0071,site1/train/video6frame056,EndoVis 2017,site1,train,site1/video6,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0072,site1/train/video6frame082,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0073,site1/train/video6frame098,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0074,site1/train/video6frame127,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0075,site1/train/video6frame153,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0076,site1/train/video6frame193,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0077,site1/train/video6frame200,EndoVis 2017,site1,train,site1/video6,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0078,site1/train/video7frame011,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0079,site1/train/video7frame052,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0080,site1/train/video7frame079,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0081,site1/train/video7frame088,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0082,site1/train/video7frame097,EndoVis 2017,site1,train,site1/video7,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0083,site1/train/video7frame107,EndoVis 2017,site1,train,site1/video7,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0084,site1/train/video7frame131,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0085,site1/train/video7frame157,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0086,site1/train/video7frame178,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0087,site1/train/video7frame216,EndoVis 2017,site1,train,site1/video7,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0088,site1/train/video8frame017,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0089,site1/train/video8frame036,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0090,site1/train/video8frame057,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0091,site1/train/video8frame090,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0092,site1/train/video8frame117,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0093,site1/train/video8frame147,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0094,site1/train/video8frame190,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0095,site1/train/video8frame223,EndoVis 2017,site1,train,site1/video8,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0096,site2/test/video1frame001,EndoVis 2018,site2,test,site2/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0097,site2/test/video1frame012,EndoVis 2018,site2,test,site2/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,mixed,third_reviewer_adjudication,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0098,site2/test/video1frame024,EndoVis 2018,site2,test,site2/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0099,site2/test/video1frame060,EndoVis 2018,site2,test,site2/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0100,site2/test/video1frame078,EndoVis 2018,site2,test,site2/video1,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,third_reviewer_adjudication,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0101,site2/test/video1frame092,EndoVis 2018,site2,test,site2/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0102,site2/test/video1frame121,EndoVis 2018,site2,test,site2/video1,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0103,site2/test/video1frame145,EndoVis 2018,site2,test,site2/video1,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0104,site2/test/video1frame200,EndoVis 2018,site2,test,site2/video1,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0105,site2/test/video1frame236,EndoVis 2018,site2,test,site2/video1,1,0,yes,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0106,site2/test/video2frame000,EndoVis 2018,site2,test,site2/video2,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0107,site2/test/video2frame097,EndoVis 2018,site2,test,site2/video2,1,0,yes,third_reviewer_adjudication,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0108,site2/test/video2frame114,EndoVis 2018,site2,test,site2/video2,1,0,yes,third_reviewer_adjudication,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0109,site2/test/video2frame135,EndoVis 2018,site2,test,site2/video2,1,0,yes,third_reviewer_adjudication,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
