sample_id,record_id,dataset,split,sequence_key,subset,task,human_original,machine_original,human_comparison,machine_comparison
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,no,no,no
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0008,site1/test/video10frame248,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,yes,no,yes
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0009,site1/test/video10frame272,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0010,site1/test/video9frame007,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,yes,no,yes
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q5,blurry,clear,degraded,clear
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0011,site1/test/video9frame056,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0012,site1/test/video9frame110,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q6,yes,no,yes,no
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0013,site1/test/video9frame114,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0014,site1/test/video9frame175,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0015,site1/test/video9frame215,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0016,site1/test/video9frame247,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q4.bleeding,no,no,no,no
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q4.smoke,no,no,no,no
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q4.occlusion,no,no,no,no
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q5,clear,clear,clear,clear
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q6,no,no,no,no
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q7,yes,yes,yes,yes
HR0017,site1/test/video9frame283,EndoVis 2017,test,site1/test/video9,representative,q9,none,none,none,none
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,no,no,no
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,no,no,no
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q5,blurry,clear,degraded,clear
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q7,yes,yes,yes,yes
HR0018,site1/train/video1frame011,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,no,no,no
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,no,no,no
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q5,clear,clear,clear,clear
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q6,yes,no,yes,no
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q7,yes,yes,yes,yes
HR0019,site1/train/video1frame032,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,no,no,no
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,no,no,no
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q5,clear,clear,clear,clear
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q7,yes,yes,yes,yes
HR0020,site1/train/video1frame065,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,no,no,no
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,yes,no,yes
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q5,clear,clear,clear,clear
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q7,yes,yes,yes,yes
HR0021,site1/train/video1frame106,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,no,no,no
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,yes,no,yes
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q5,clear,blurry,clear,degraded
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q7,yes,no,yes,no
HR0022,site1/train/video1frame139,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,yes,no,yes
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,no,no,no
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q5,clear,blurry,clear,degraded
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q7,yes,no,yes,no
HR0023,site1/train/video1frame158,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q4.bleeding,no,no,no,no
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q4.smoke,no,no,no,no
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q4.occlusion,no,yes,no,yes
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q5,blurry,blurry,degraded,degraded
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q6,yes,no,yes,no
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q7,yes,no,yes,no
HR0024,site1/train/video1frame162,EndoVis 2017,train,site1/train/video1,challenge,q9,none,none,none,none
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q4.bleeding,no,yes,no,yes
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q4.smoke,no,no,no,no
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q4.occlusion,yes,yes,yes,yes
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q5,blurry,blurry,degraded,degraded
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q6,no,yes,no,yes
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q7,yes,no,yes,no
HR0025,site1/train/video1frame164,EndoVis 2017,train,site1/train/video1,challenge,q9,none,none,none,none
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q4.bleeding,no,no,no,no
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q4.smoke,no,no,no,no
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q4.occlusion,no,yes,no,yes
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q5,blurry,blurry,degraded,degraded
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q6,no,yes,no,yes
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q7,yes,no,yes,no
HR0026,site1/train/video1frame166,EndoVis 2017,train,site1/train/video1,challenge,q9,none,none,none,none
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q4.bleeding,yes,yes,yes,yes
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q4.smoke,no,no,no,no
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q4.occlusion,no,yes,no,yes
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q5,blurry,blurry,degraded,degraded
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q6,no,no,no,no
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q7,yes,no,yes,no
HR0027,site1/train/video1frame176,EndoVis 2017,train,site1/train/video1,challenge,q9,none,none,none,none
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,yes,no,yes
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,no,no,no
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q5,clear,clear,clear,clear
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q7,yes,yes,yes,yes
HR0028,site1/train/video1frame181,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q4.bleeding,no,yes,no,yes
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q4.smoke,no,no,no,no
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q4.occlusion,no,no,no,no
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q5,clear,clear,clear,clear
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q6,no,no,no,no
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q7,yes,yes,yes,yes
HR0030,site1/train/video1frame205,EndoVis 2017,train,site1/train/video1,representative,q9,none,none,none,none
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,no,no,no
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q6,yes,no,yes,no
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0031,site1/train/video2frame005,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,yes,no,yes
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q6,no,no,no,no
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0032,site1/train/video2frame045,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q4.bleeding,no,yes,no,yes
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q4.smoke,no,no,no,no
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q4.occlusion,no,yes,no,yes
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q5,blurry,blurry,degraded,degraded
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q6,yes,yes,yes,yes
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q7,yes,no,yes,no
HR0033,site1/train/video2frame054,EndoVis 2017,train,site1/train/video2,challenge,q9,none,none,none,none
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,yes,no,yes
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q6,no,no,no,no
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0034,site1/train/video2frame060,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,no,no,no
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q6,yes,no,yes,no
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0035,site1/train/video2frame097,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,yes,no,yes
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q6,no,no,no,no
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0036,site1/train/video2frame130,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,no,no,no
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q6,yes,no,yes,no
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0037,site1/train/video2frame158,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q4.bleeding,no,yes,no,yes
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q4.smoke,no,no,no,no
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q4.occlusion,no,no,no,no
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q5,clear,clear,clear,clear
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q6,yes,no,yes,no
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q7,yes,yes,yes,yes
HR0038,site1/train/video2frame182,EndoVis 2017,train,site1/train/video2,representative,q9,none,none,none,none
HR0039,site1/train/video2frame196,EndoVis 2017,train,site1/train/video2,challenge,q4.bleeding,no,no,no,no
HR0039,site1/train/video2frame196,EndoVis 2017,train,site1/train/video2,challenge,q4.smoke,no,no,no,no
HR0039,site1/train/video2frame196,EndoVis 2017,train,site1/train/video2,challenge,q4.occlusion,no,yes,no,yes
HR0039,site1/train/video2frame196,EndoVis 2017,train,site1/train/video2,challenge,q5,blurry,blurry,degraded,degraded
