record_id,dataset,site,split,video_key,frame_index,target_name,central_region,central_instrument_fraction,positive_threshold,label
site1/train/video1frame069,EndoVis 2017,site1,train,site1/video1,69,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0794616714,>=0.05,yes
site1/train/video1frame070,EndoVis 2017,site1,train,site1/video1,70,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0568084717,>=0.05,yes
site1/train/video1frame071,EndoVis 2017,site1,train,site1/video1,71,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0771179199,>=0.05,yes
site1/train/video1frame072,EndoVis 2017,site1,train,site1/video1,72,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0677185059,>=0.05,yes
site1/train/video1frame073,EndoVis 2017,site1,train,site1/video1,73,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0116607668,>=0.05,no
site1/train/video1frame074,EndoVis 2017,site1,train,site1/video1,74,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0113464352,>=0.05,no
site1/train/video1frame075,EndoVis 2017,site1,train,site1/video1,75,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0005981445,>=0.05,no
site1/train/video1frame076,EndoVis 2017,site1,train,site1/video1,76,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0000000000,>=0.05,no
site1/train/video1frame077,EndoVis 2017,site1,train,site1/video1,77,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0000000000,>=0.05,no
site1/train/video1frame078,EndoVis 2017,site1,train,site1/video1,78,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0000000000,>=0.05,no
site1/train/video1frame079,EndoVis 2017,site1,train,site1/video1,79,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0862518325,>=0.05,yes
site1/train/video1frame080,EndoVis 2017,site1,train,site1/video1,80,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1471771300,>=0.05,yes
site1/train/video1frame081,EndoVis 2017,site1,train,site1/video1,81,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1305633485,>=0.05,yes
site1/train/video1frame082,EndoVis 2017,site1,train,site1/video1,82,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1248107925,>=0.05,yes
site1/train/video1frame083,EndoVis 2017,site1,train,site1/video1,83,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1307678223,>=0.05,yes
site1/train/video1frame084,EndoVis 2017,site1,train,site1/video1,84,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1718597412,>=0.05,yes
site1/train/video1frame085,EndoVis 2017,site1,train,site1/video1,85,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1915710419,>=0.05,yes
site1/train/video1frame086,EndoVis 2017,site1,train,site1/video1,86,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2086761445,>=0.05,yes
site1/train/video1frame087,EndoVis 2017,site1,train,site1/video1,87,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1822326630,>=0.05,yes
site1/train/video1frame088,EndoVis 2017,site1,train,site1/video1,88,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1639373749,>=0.05,yes
site1/train/video1frame089,EndoVis 2017,site1,train,site1/video1,89,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1620147675,>=0.05,yes
site1/train/video1frame090,EndoVis 2017,site1,train,site1/video1,90,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2249755859,>=0.05,yes
site1/train/video1frame091,EndoVis 2017,site1,train,site1/video1,91,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1967773438,>=0.05,yes
site1/train/video1frame092,EndoVis 2017,site1,train,site1/video1,92,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1785247773,>=0.05,yes
site1/train/video1frame093,EndoVis 2017,site1,train,site1/video1,93,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0208038334,>=0.05,no
site1/train/video1frame094,EndoVis 2017,site1,train,site1/video1,94,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0000000000,>=0.05,no
site1/train/video1frame095,EndoVis 2017,site1,train,site1/video1,95,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0007873535,>=0.05,no
site1/train/video1frame096,EndoVis 2017,site1,train,site1/video1,96,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0464019775,>=0.05,no
site1/train/video1frame097,EndoVis 2017,site1,train,site1/video1,97,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0923095718,>=0.05,yes
site1/train/video1frame098,EndoVis 2017,site1,train,site1/video1,98,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1055725068,>=0.05,yes
site1/train/video1frame099,EndoVis 2017,site1,train,site1/video1,99,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1724853516,>=0.05,yes
site1/train/video1frame100,EndoVis 2017,site1,train,site1/video1,100,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1666961610,>=0.05,yes
site1/train/video1frame101,EndoVis 2017,site1,train,site1/video1,101,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1598632783,>=0.05,yes
site1/train/video1frame102,EndoVis 2017,site1,train,site1/video1,102,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2001556456,>=0.05,yes
site1/train/video1frame103,EndoVis 2017,site1,train,site1/video1,103,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1951568574,>=0.05,yes
site1/train/video1frame104,EndoVis 2017,site1,train,site1/video1,104,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1987915039,>=0.05,yes
site1/train/video1frame105,EndoVis 2017,site1,train,site1/video1,105,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1478302032,>=0.05,yes
site1/train/video1frame106,EndoVis 2017,site1,train,site1/video1,106,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1443237364,>=0.05,yes
site1/train/video1frame107,EndoVis 2017,site1,train,site1/video1,107,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1410369873,>=0.05,yes
site1/train/video1frame108,EndoVis 2017,site1,train,site1/video1,108,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0569549575,>=0.05,yes
site1/train/video1frame109,EndoVis 2017,site1,train,site1/video1,109,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0048553469,>=0.05,no
site1/train/video1frame110,EndoVis 2017,site1,train,site1/video1,110,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0079620359,>=0.05,no
site1/train/video1frame111,EndoVis 2017,site1,train,site1/video1,111,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0058410643,>=0.05,no
site1/train/video1frame112,EndoVis 2017,site1,train,site1/video1,112,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0204406735,>=0.05,no
site1/train/video1frame113,EndoVis 2017,site1,train,site1/video1,113,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1000640839,>=0.05,yes
site1/train/video1frame114,EndoVis 2017,site1,train,site1/video1,114,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1123474091,>=0.05,yes
site1/train/video1frame115,EndoVis 2017,site1,train,site1/video1,115,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1176818833,>=0.05,yes
site1/train/video1frame116,EndoVis 2017,site1,train,site1/video1,116,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1285552979,>=0.05,yes
site1/train/video1frame117,EndoVis 2017,site1,train,site1/video1,117,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0897644013,>=0.05,yes
site1/train/video1frame118,EndoVis 2017,site1,train,site1/video1,118,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0629913360,>=0.05,yes
site1/train/video1frame119,EndoVis 2017,site1,train,site1/video1,119,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0468994156,>=0.05,no
site1/train/video1frame120,EndoVis 2017,site1,train,site1/video1,120,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0329376236,>=0.05,no
site1/train/video1frame121,EndoVis 2017,site1,train,site1/video1,121,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0635192841,>=0.05,yes
site1/train/video1frame122,EndoVis 2017,site1,train,site1/video1,122,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1471954286,>=0.05,yes
site1/train/video1frame123,EndoVis 2017,site1,train,site1/video1,123,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1581878662,>=0.05,yes
site1/train/video1frame124,EndoVis 2017,site1,train,site1/video1,124,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1580047607,>=0.05,yes
site1/train/video1frame125,EndoVis 2017,site1,train,site1/video1,125,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1932373047,>=0.05,yes
site1/train/video1frame126,EndoVis 2017,site1,train,site1/video1,126,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2586456239,>=0.05,yes
site1/train/video1frame127,EndoVis 2017,site1,train,site1/video1,127,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1614044160,>=0.05,yes
site1/train/video1frame128,EndoVis 2017,site1,train,site1/video1,128,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1027435288,>=0.05,yes
site1/train/video1frame129,EndoVis 2017,site1,train,site1/video1,129,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2164520323,>=0.05,yes
site1/train/video1frame130,EndoVis 2017,site1,train,site1/video1,130,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1201232895,>=0.05,yes
site1/train/video1frame131,EndoVis 2017,site1,train,site1/video1,131,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2160797119,>=0.05,yes
site1/train/video1frame132,EndoVis 2017,site1,train,site1/video1,132,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2602356076,>=0.05,yes
site1/train/video1frame133,EndoVis 2017,site1,train,site1/video1,133,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2279724181,>=0.05,yes
site1/train/video1frame134,EndoVis 2017,site1,train,site1/video1,134,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0746765137,>=0.05,yes
site1/train/video1frame135,EndoVis 2017,site1,train,site1/video1,135,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1849670410,>=0.05,yes
site1/train/video1frame136,EndoVis 2017,site1,train,site1/video1,136,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0989715606,>=0.05,yes
site1/train/video1frame137,EndoVis 2017,site1,train,site1/video1,137,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0466064438,>=0.05,no
site1/train/video1frame138,EndoVis 2017,site1,train,site1/video1,138,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4185455441,>=0.05,yes
site1/train/video1frame139,EndoVis 2017,site1,train,site1/video1,139,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2773223817,>=0.05,yes
site1/train/video1frame140,EndoVis 2017,site1,train,site1/video1,140,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2075714171,>=0.05,yes
site1/train/video1frame141,EndoVis 2017,site1,train,site1/video1,141,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3453338742,>=0.05,yes
site1/train/video1frame142,EndoVis 2017,site1,train,site1/video1,142,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3111968935,>=0.05,yes
site1/train/video1frame143,EndoVis 2017,site1,train,site1/video1,143,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3020721376,>=0.05,yes
site1/train/video1frame144,EndoVis 2017,site1,train,site1/video1,144,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2930206358,>=0.05,yes
site1/train/video1frame145,EndoVis 2017,site1,train,site1/video1,145,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1442230195,>=0.05,yes
site1/train/video1frame146,EndoVis 2017,site1,train,site1/video1,146,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0520355217,>=0.05,yes
site1/train/video1frame147,EndoVis 2017,site1,train,site1/video1,147,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0057159425,>=0.05,no
site1/train/video1frame148,EndoVis 2017,site1,train,site1/video1,148,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0100708008,>=0.05,no
site1/train/video1frame149,EndoVis 2017,site1,train,site1/video1,149,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0127746584,>=0.05,no
site1/train/video1frame150,EndoVis 2017,site1,train,site1/video1,150,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0308807380,>=0.05,no
site1/train/video1frame151,EndoVis 2017,site1,train,site1/video1,151,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0000000000,>=0.05,no
site1/train/video1frame152,EndoVis 2017,site1,train,site1/video1,152,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0043151854,>=0.05,no
site1/train/video1frame153,EndoVis 2017,site1,train,site1/video1,153,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1257171631,>=0.05,yes
site1/train/video1frame154,EndoVis 2017,site1,train,site1/video1,154,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3573211730,>=0.05,yes
site1/train/video1frame155,EndoVis 2017,site1,train,site1/video1,155,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1680633575,>=0.05,yes
site1/train/video1frame156,EndoVis 2017,site1,train,site1/video1,156,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0987304673,>=0.05,yes
site1/train/video1frame157,EndoVis 2017,site1,train,site1/video1,157,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0963897705,>=0.05,yes
site1/train/video1frame158,EndoVis 2017,site1,train,site1/video1,158,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0532104485,>=0.05,yes
site1/train/video1frame159,EndoVis 2017,site1,train,site1/video1,159,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0396972671,>=0.05,no
site1/train/video1frame160,EndoVis 2017,site1,train,site1/video1,160,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0886657685,>=0.05,yes
site1/train/video1frame161,EndoVis 2017,site1,train,site1/video1,161,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0354370102,>=0.05,no
site1/train/video1frame162,EndoVis 2017,site1,train,site1/video1,162,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0056304932,>=0.05,no
site1/train/video1frame163,EndoVis 2017,site1,train,site1/video1,163,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1846771240,>=0.05,yes
site1/train/video1frame164,EndoVis 2017,site1,train,site1/video1,164,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3547790647,>=0.05,yes
site1/train/video1frame165,EndoVis 2017,site1,train,site1/video1,165,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1526367217,>=0.05,yes
site1/train/video1frame166,EndoVis 2017,site1,train,site1/video1,166,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2572967410,>=0.05,yes
site1/train/video1frame167,EndoVis 2017,site1,train,site1/video1,167,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0783721954,>=0.05,yes
site1/train/video1frame168,EndoVis 2017,site1,train,site1/video1,168,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1361785829,>=0.05,yes
site1/train/video1frame169,EndoVis 2017,site1,train,site1/video1,169,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1757202148,>=0.05,yes
site1/train/video1frame170,EndoVis 2017,site1,train,site1/video1,170,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1879455596,>=0.05,yes
site1/train/video1frame171,EndoVis 2017,site1,train,site1/video1,171,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1058746353,>=0.05,yes
site1/train/video1frame172,EndoVis 2017,site1,train,site1/video1,172,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2285614014,>=0.05,yes
site1/train/video1frame173,EndoVis 2017,site1,train,site1/video1,173,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1465728730,>=0.05,yes
