task,condition,metric,estimate,ci_2.5,ci_97.5,bootstrap_unit,test_video_count,replicates,seed
q4.bleeding,mask_linear,accuracy,0.5203506574827802,0.4589957360964842,0.573182615007464,video_key,6,1000,20260825
q4.bleeding,mask_linear,macro_f1_fixed_labels,0.520348964868256,0.456210165148373,0.5676192604936927,video_key,6,1000,20260825
q4.bleeding,mask_linear,balanced_accuracy_fixed_labels,0.5336158700663235,0.48652696940758633,0.588507518871735,video_key,6,1000,20260825
q4.bleeding,rgb_mask_linear,accuracy,0.5729492798998121,0.5106382978723404,0.654169360051713,video_key,6,1000,20260825
q4.bleeding,rgb_mask_linear,macro_f1_fixed_labels,0.572929018212845,0.5077518747382395,0.6340689731245912,video_key,6,1000,20260825
q4.bleeding,rgb_mask_linear,balanced_accuracy_fixed_labels,0.5861241404142729,0.5299987829262202,0.6426453382084095,video_key,6,1000,20260825
q4.smoke,majority_prior,accuracy,1.0,1.0,1.0,video_key,6,1000,20260826
q4.smoke,majority_prior,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260826
q4.smoke,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260826
q4.smoke,rgb_linear,accuracy,1.0,1.0,1.0,video_key,6,1000,20260826
q4.smoke,rgb_linear,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260826
q4.smoke,rgb_linear,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260826
q4.smoke,mask_linear,accuracy,0.9818409517845961,0.9553398058252427,0.9981214777708203,video_key,6,1000,20260826
q4.smoke,mask_linear,macro_f1_fixed_labels,0.49541864139020536,0.4885799404170804,0.4995299279222814,video_key,6,1000,20260826
q4.smoke,mask_linear,balanced_accuracy_fixed_labels,0.49092047589229804,0.47766990291262135,0.49906073888541014,video_key,6,1000,20260826
q4.smoke,rgb_mask_linear,accuracy,1.0,1.0,1.0,video_key,6,1000,20260826
q4.smoke,rgb_mask_linear,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260826
q4.smoke,rgb_mask_linear,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260826
q4.occlusion,majority_prior,accuracy,0.9611772072636193,0.9293308317698562,0.9831823969441349,video_key,6,1000,20260827
q4.occlusion,majority_prior,macro_f1_fixed_labels,0.4901021711366539,0.4816855753646678,0.49575994486761754,video_key,6,1000,20260827
q4.occlusion,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260827
q4.occlusion,rgb_linear,accuracy,0.9110832811521603,0.8895169382600984,0.9367167919799498,video_key,6,1000,20260827
q4.occlusion,rgb_linear,macro_f1_fixed_labels,0.5539176344695181,0.5003869017486513,0.611738304767245,video_key,6,1000,20260827
q4.occlusion,rgb_linear,balanced_accuracy_fixed_labels,0.5745455500682988,0.5093986887932801,0.6917384581400485,video_key,6,1000,20260827
q4.occlusion,mask_linear,accuracy,0.8290544771446462,0.7475728155339806,0.9034611327138754,video_key,6,1000,20260827
q4.occlusion,mask_linear,macro_f1_fixed_labels,0.5349580644025818,0.4626686055257484,0.6121323143111614,video_key,6,1000,20260827
q4.occlusion,mask_linear,balanced_accuracy_fixed_labels,0.6402175055164443,0.5239761780477389,0.7095968672146145,video_key,6,1000,20260827
q4.occlusion,rgb_mask_linear,accuracy,0.9160926737633062,0.885585003232062,0.9492481203007519,video_key,6,1000,20260827
q4.occlusion,rgb_mask_linear,macro_f1_fixed_labels,0.5693512034130243,0.49267284339443895,0.6389876880984953,video_key,6,1000,20260827
q4.occlusion,rgb_mask_linear,balanced_accuracy_fixed_labels,0.5926289797205002,0.49174491392801256,0.6591076502714434,video_key,6,1000,20260827
q5,majority_prior,accuracy,0.9442705072010019,0.8945250817846635,0.9829230413579889,video_key,6,1000,20260828
q5,majority_prior,macro_f1_fixed_labels,0.3237788513150832,0.3147754800110553,0.33046266238244193,video_key,6,1000,20260828
q5,majority_prior,balanced_accuracy_fixed_labels,0.3333333333333333,0.3333333333333333,0.3333333333333333,video_key,6,1000,20260828
q5,rgb_linear,accuracy,0.926111458985598,0.8737722779738504,0.9598965071151359,video_key,6,1000,20260828
q5,rgb_linear,macro_f1_fixed_labels,0.4179044366401392,0.366673381463764,0.47157309031832556,video_key,6,1000,20260828
q5,rgb_linear,balanced_accuracy_fixed_labels,0.41150567758471673,0.37683541320287167,0.47003393226364176,video_key,6,1000,20260828
q5,mask_linear,accuracy,0.6361928616155291,0.5268261150614092,0.7180451127819549,video_key,6,1000,20260828
q5,mask_linear,macro_f1_fixed_labels,0.31435469015341216,0.27841206783943045,0.3326590961486372,video_key,6,1000,20260828
q5,mask_linear,balanced_accuracy_fixed_labels,0.4043180440894505,0.31391077137044876,0.4413388500427587,video_key,6,1000,20260828
q5,rgb_mask_linear,accuracy,0.9229805886036319,0.8686934023285899,0.9586482714071153,video_key,6,1000,20260828
q5,rgb_mask_linear,macro_f1_fixed_labels,0.4056870834827074,0.346476010936633,0.46789698025463333,video_key,6,1000,20260828
q5,rgb_mask_linear,balanced_accuracy_fixed_labels,0.3998276358795538,0.3499300874427953,0.47385054730796533,video_key,6,1000,20260828
q6,majority_prior,accuracy,0.9724483406386976,0.9398805305254632,0.9941107184923439,video_key,6,1000,20260829
q6,majority_prior,macro_f1_fixed_labels,0.493015873015873,0.4845043370636289,0.4985233313644418,video_key,6,1000,20260829
q6,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260829
q6,rgb_linear,accuracy,0.9592986850344396,0.919732441471572,0.9899882214369847,video_key,6,1000,20260829
q6,rgb_linear,macro_f1_fixed_labels,0.5318468608641925,0.4957134109001837,0.5652087450943787,video_key,6,1000,20260829
q6,rgb_linear,balanced_accuracy_fixed_labels,0.5263639290522741,0.4960195958358849,0.5777381042331209,video_key,6,1000,20260829
q6,mask_linear,accuracy,0.7557921102066374,0.6358350202429149,0.8640893912884375,video_key,6,1000,20260829
q6,mask_linear,macro_f1_fixed_labels,0.4820488853111216,0.4477923990317326,0.5101492582669429,video_key,6,1000,20260829
q6,mask_linear,balanced_accuracy_fixed_labels,0.6425613182696248,0.5020381328073635,0.7228228228228228,video_key,6,1000,20260829
q6,rgb_mask_linear,accuracy,0.9599248591108328,0.9224280003263442,0.9893992932862191,video_key,6,1000,20260829
q6,rgb_mask_linear,macro_f1_fixed_labels,0.5453057157093032,0.4957134109001837,0.5685498962688478,video_key,6,1000,20260829
q6,rgb_mask_linear,balanced_accuracy_fixed_labels,0.5377275654159105,0.4963212752912324,0.5789614417883309,video_key,6,1000,20260829
q7,majority_prior,accuracy,0.9705698184095178,0.9391979301423027,0.9946996466431095,video_key,6,1000,20260830
q7,majority_prior,macro_f1_fixed_labels,0.4925325707022561,0.48432288192128087,0.49867139061116034,video_key,6,1000,20260830
q7,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260830
q7,rgb_linear,accuracy,0.954915466499687,0.9266175194774265,0.9799757281553398,video_key,6,1000,20260830
q7,rgb_linear,macro_f1_fixed_labels,0.5698123372541978,0.5182017323188147,0.6059571232582357,video_key,6,1000,20260830
q7,rgb_linear,balanced_accuracy_fixed_labels,0.5641455044612217,0.5329954026954615,0.6015929671491838,video_key,6,1000,20260830
q7,mask_linear,accuracy,0.7470256731371321,0.6187702265372168,0.8698468786808009,video_key,6,1000,20260830
q7,mask_linear,macro_f1_fixed_labels,0.4813434515579279,0.44314964808061286,0.509175607001694,video_key,6,1000,20260830
q7,mask_linear,balanced_accuracy_fixed_labels,0.6427316403568977,0.5753765898833597,0.775005556790398,video_key,6,1000,20260830
q7,rgb_mask_linear,accuracy,0.9586725109580463,0.928521323583622,0.9817975800156128,video_key,6,1000,20260830
q7,rgb_mask_linear,macro_f1_fixed_labels,0.5769026974951831,0.5225511390429602,0.6421010443925784,video_key,6,1000,20260830
q7,rgb_mask_linear,balanced_accuracy_fixed_labels,0.5660809883321894,0.5229627865414156,0.6340721587851976,video_key,6,1000,20260830
q8.mask_center_5pct_v1,majority_prior,accuracy,0.7532874139010645,0.5866752910737387,0.8768137283921382,video_key,6,1000,20260831
q8.mask_center_5pct_v1,majority_prior,macro_f1_fixed_labels,0.42964285714285716,0.36975132490827556,0.4671820716085373,video_key,6,1000,20260831
q8.mask_center_5pct_v1,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260831
q8.mask_center_5pct_v1,rgb_linear,accuracy,0.8015028177833438,0.7657766990291263,0.8421205927439959,video_key,6,1000,20260831
q8.mask_center_5pct_v1,rgb_linear,macro_f1_fixed_labels,0.7670718818742688,0.6713151289596677,0.8361071167582094,video_key,6,1000,20260831
q8.mask_center_5pct_v1,rgb_linear,balanced_accuracy_fixed_labels,0.8161881674831534,0.7609871682587601,0.8608265426736218,video_key,6,1000,20260831
q8.mask_center_5pct_v1,mask_linear,accuracy,0.986850344395742,0.9823321554770318,0.9912390488110138,video_key,6,1000,20260831
q8.mask_center_5pct_v1,mask_linear,macro_f1_fixed_labels,0.9824744396048296,0.9741660602299232,0.9871419935556761,video_key,6,1000,20260831
q8.mask_center_5pct_v1,mask_linear,balanced_accuracy_fixed_labels,0.9870047807722656,0.9731618929933126,0.9929453262786596,video_key,6,1000,20260831
q8.mask_center_5pct_v1,rgb_mask_linear,accuracy,0.947401377582968,0.9301423027166882,0.963248262897392,video_key,6,1000,20260831
q8.mask_center_5pct_v1,rgb_mask_linear,macro_f1_fixed_labels,0.9313076072262505,0.8862971473773327,0.9591832071906337,video_key,6,1000,20260831
q8.mask_center_5pct_v1,rgb_mask_linear,balanced_accuracy_fixed_labels,0.9446054913477727,0.9122934768703935,0.9673425905623512,video_key,6,1000,20260831
q9,majority_prior,accuracy,1.0,1.0,1.0,video_key,6,1000,20260832
q9,majority_prior,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,rgb_linear,accuracy,1.0,1.0,1.0,video_key,6,1000,20260832
q9,rgb_linear,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,rgb_linear,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,mask_linear,accuracy,1.0,1.0,1.0,video_key,6,1000,20260832
q9,mask_linear,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,mask_linear,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,rgb_mask_linear,accuracy,1.0,1.0,1.0,video_key,6,1000,20260832
q9,rgb_mask_linear,macro_f1_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
q9,rgb_mask_linear,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260832
