task,condition,label,train_support,test_support,precision,recall,f1,predicted_support
q4.occlusion,rgb_linear,no,3682,1535,0.9671361502347418,0.9394136807817589,0.9530733641771315,1491
q4.occlusion,rgb_linear,yes,353,62,0.12264150943396226,0.20967741935483872,0.15476190476190477,106
q4.occlusion,mask_linear,no,3682,1535,0.9737237237237237,0.8449511400651466,0.9047785141262644,1332
q4.occlusion,mask_linear,yes,353,62,0.1018867924528302,0.43548387096774194,0.1651376146788991,265
q4.occlusion,rgb_mask_linear,no,3682,1535,0.968561872909699,0.9433224755700326,0.9557755775577558,1495
q4.occlusion,rgb_mask_linear,yes,353,62,0.14705882352941177,0.24193548387096775,0.18292682926829268,102
q5,majority_prior,blurry,317,89,0.0,0.0,0.0,0
q5,majority_prior,clear,3678,1508,0.9442705072010019,1.0,0.9713365539452496,1597
q5,majority_prior,mixed,40,0,0.0,0.0,0.0,0
q5,rgb_linear,blurry,317,89,0.32,0.2696629213483146,0.2926829268292683,75
q5,rgb_linear,clear,3678,1508,0.9572368421052632,0.9648541114058355,0.9610303830911493,1520
q5,rgb_linear,mixed,40,0,0.0,0.0,0.0,2
q5,mask_linear,blurry,317,89,0.10139165009940358,0.5730337078651685,0.17229729729729729,503
q5,mask_linear,clear,3678,1508,0.9688755020080321,0.639920424403183,0.7707667731629393,996
q5,mask_linear,mixed,40,0,0.0,0.0,0.0,98
q5,rgb_mask_linear,blurry,317,89,0.28378378378378377,0.23595505617977527,0.25766871165644173,74
q5,rgb_mask_linear,clear,3678,1508,0.9552925706771861,0.963527851458886,0.9593925387916804,1521
q5,rgb_mask_linear,mixed,40,0,0.0,0.0,0.0,2
q6,majority_prior,no,3944,1553,0.9724483406386976,1.0,0.986031746031746,1597
q6,majority_prior,yes,91,44,0.0,0.0,0.0,0
q6,rgb_linear,no,3944,1553,0.9738853503184713,0.9845460399227302,0.9791866794748639,1570
q6,rgb_linear,yes,91,44,0.1111111111111111,0.06818181818181818,0.08450704225352113,27
q6,mask_linear,no,3944,1553,0.9825726141078838,0.7623953638119768,0.8585931834662799,1205
q6,mask_linear,yes,91,44,0.058673469387755105,0.5227272727272727,0.10550458715596331,392
q6,rgb_mask_linear,no,3944,1553,0.9745060548119822,0.9845460399227302,0.9795003203074952,1569
q6,rgb_mask_linear,yes,91,44,0.14285714285714285,0.09090909090909091,0.1111111111111111,28
q7,majority_prior,no,223,47,0.0,0.0,0.0,0
q7,majority_prior,yes,3812,1550,0.9705698184095178,1.0,0.9850651414045122,1597
q7,rgb_linear,no,223,47,0.1794871794871795,0.14893617021276595,0.16279069767441862,39
q7,rgb_linear,yes,3812,1550,0.9743260590500642,0.9793548387096774,0.9768339768339769,1558
q7,mask_linear,no,223,47,0.06142506142506143,0.5319148936170213,0.11013215859030837,407
q7,mask_linear,yes,3812,1550,0.9815126050420168,0.7535483870967742,0.8525547445255475,1190
q7,rgb_mask_linear,no,223,47,0.21212121212121213,0.14893617021276595,0.175,33
q7,rgb_mask_linear,yes,3812,1550,0.9744245524296675,0.983225806451613,0.9788053949903661,1564
q8.mask_center_5pct_v1,majority_prior,no,854,394,0.0,0.0,0.0,0
q8.mask_center_5pct_v1,majority_prior,yes,3181,1203,0.7532874139010645,1.0,0.8592857142857143,1597
q8.mask_center_5pct_v1,rgb_linear,no,854,394,0.565365025466893,0.8451776649746193,0.6775178026449644,589
q8.mask_center_5pct_v1,rgb_linear,yes,3181,1203,0.939484126984127,0.7871986699916874,0.856625961103573,1008
q8.mask_center_5pct_v1,mask_linear,no,854,394,0.9604938271604938,0.9873096446700508,0.9737171464330413,405
q8.mask_center_5pct_v1,mask_linear,yes,3181,1203,0.9958053691275168,0.9866999168744804,0.9912317327766179,1192
q8.mask_center_5pct_v1,rgb_mask_linear,no,854,394,0.8604651162790697,0.9390862944162437,0.8980582524271845,430
q8.mask_center_5pct_v1,rgb_mask_linear,yes,3181,1203,0.9794344473007712,0.9501246882793017,0.9645569620253165,1167
q9,majority_prior,near instrument jaws,2,0,0.0,0.0,0.0,0
q9,majority_prior,none,4033,1597,1.0,1.0,1.0,1597
q9,rgb_linear,near instrument jaws,2,0,0.0,0.0,0.0,0
q9,rgb_linear,none,4033,1597,1.0,1.0,1.0,1597
q9,mask_linear,near instrument jaws,2,0,0.0,0.0,0.0,0
q9,mask_linear,none,4033,1597,1.0,1.0,1.0,1597
q9,rgb_mask_linear,near instrument jaws,2,0,0.0,0.0,0.0,0
q9,rgb_mask_linear,none,4033,1597,1.0,1.0,1.0,1597
